Location,Date,Average temperature,Lowest temperature,Highest temperature,Precipitation,Wind speed,Dew point,Relative humidity,Vapor pressure,Spot atmospheric pressure,Sea-level pressure,Duration of bright sunshine,Solar radiation quantity,Maximum depth of snow cover,Maximum depth of new snowfall,Amount of cumulus,Amount of middle and lower cloud,Average temperature of ground,Total large evaporation,Toal low evaporation
108,2016-03-21,9.9,5.5,16.1,,2.2,0.5,54.1,6.4,1012.3,1022.8,10.8,16.83,,,0.1,0.1,12.4,,3.1
108,2016-03-22,8,3.5,13.8,,2.5,-1.2,58.1,5.8,1008.7,1019.2,10.2,15.38,,,3.9,0,11.2,,3
108,2016-03-23,8.2,3.8,13.8,,2.9,-3.2,49.6,5,1008.9,1019.4,10.4,16.73,,,3.1,1.1,11.4,,3.3
108,2016-03-24,7.2,1.6,12.7,,2.4,-7.3,36.5,3.6,1013.8,1024.4,11.6,18.91,,,0.4,0.1,11.9,,3.5
108,2016-03-25,7.1,2.1,12.6,,2.2,-5.1,43.9,4.2,1013,1023.6,10.7,16.07,,,1,1,10.9,,2.9
108,2016-03-26,6.5,2.1,12.6,,2.2,-3,54.5,5,1010.8,1021.4,9.2,15.3,,,0.5,0.5,10.5,,2.6
108,2016-03-27,7.2,2.2,13.1,,2.6,-2.3,55.6,5.3,1009.7,1020.2,11.1,17.19,,,0,0,11.8,,3.1
108,2016-03-28,9.8,2.3,17.4,,2,-2.7,47.8,5.1,1010.6,1021,11.3,17.82,,,0.3,0,13.5,,3.5
108,2016-03-29,11.3,7.6,17.1,0.1,3.2,2.8,57.8,7.6,1007.6,1017.9,5.9,12.55,,,7.4,3,12.6,,2.9
108,2016-03-30,11.5,7,18.3,,2.2,-0.4,49.9,6.2,1009.3,1019.7,10.5,18.01,,,2,1.9,15.9,,3.8
108,2016-03-31,13.5,6,21.4,,2.1,-6.1,27,3.9,1006.2,1016.5,9.8,15.57,,,4.5,0,15.2,,3.5
108,2016-04-01,15.3,7.3,23.8,,2,-4.7,26,4.3,1005,1015.2,10.3,18.16,,,3,0.4,16.7,3,4.5
108,2016-04-02,15,9.6,21.7,,2.3,0.7,40.8,6.7,1007.9,1018.1,9,16.99,,,2.4,0.5,18.5,2.8,4.2
108,2016-04-03,10.7,8.2,12.7,2,1.7,6.4,75.1,9.6,1007.6,1018,0,3.23,,,8,4.6,11.1,0,0
108,2016-04-04,12.3,5.1,19.8,,2.2,-2.3,42.6,5.4,1003.1,1013.3,11.2,20.8,,,2.3,0,16.8,3,4.6
108,2016-04-05,11.4,5.9,18.1,,2.5,-1.3,45.1,5.6,1006.1,1016.4,11.6,20.04,,,0.8,0,16.7,3.6,4.4
108,2016-04-06,14.4,6.6,22.9,3,1.9,0.1,44.3,6.4,1005.2,1015.4,8,15.13,,,6.8,2.1,15.7,1.5,1.8
108,2016-04-07,14.1,10.5,20.6,7.5,3,7.7,69.5,10.6,998.7,1008.9,8.8,16.95,,,3.9,1.9,15.8,2.1,3.5
108,2016-04-08,11.1,7.8,18.7,,2.5,6.6,76.1,9.8,1005,1015.3,9.2,18.15,,,3.8,3.8,15.4,2.5,3.8
108,2016-04-09,10.7,7.4,14.1,,1.8,8,83.9,10.8,1003.8,1014.1,0,4.52,,,8,8,12.7,0.3,0.7
108,2016-04-10,13.4,9.3,20.7,,2.1,8,71.3,10.9,1002.8,1013,5,14.02,,,5,5,15.9,2.9,3.5
108,2016-04-11,12.5,5.7,19.4,,2.4,-0.5,43.8,6,1008.4,1018.7,12,21.04,,,0,0,16.7,4,5
108,2016-04-12,14.1,10.3,19.4,,2.3,1.4,42.6,6.8,1004.5,1014.7,7.8,15.36,,,6,3,16.3,1.7,2.5
108,2016-04-13,15.6,11.4,21.4,1,1.7,9.3,67.5,11.8,996.4,1006.4,6.8,13.86,,,5.1,3.9,17.1,1.6,2.3
108,2016-04-14,12.4,9.3,18.6,,2.6,7.9,75.9,10.6,1002.4,1012.7,6.5,14.06,,,2.3,2.3,16.4,1.8,2.6
108,2016-04-15,15,8.1,23.1,,2.6,2.5,46.4,7.3,1008.5,1018.7,11.5,20.94,,,0,0,19,3,4.4
108,2016-04-16,14.9,9.8,20.7,23.5,2.9,5.8,58.9,9.8,996.6,1006.7,2.8,7.23,,,7.5,5.1,15.4,0.3,0.4
108,2016-04-17,10.8,8.3,14.5,20.5,4.7,4.3,66.8,8.6,993.8,1004.1,6.9,13.8,,,6.1,4.1,14.2,2,3.9
108,2016-04-18,11.2,7.1,18.6,1.5,3.1,4,65.4,8.2,1003.8,1014.1,9.2,18.4,,,5.5,3.1,14.9,3.8,4.5
108,2016-04-19,12,6.5,19.2,,2.2,2.5,55.1,7.4,1012.1,1022.5,12,22.1,,,2.5,0.9,16.8,3.2,4
108,2016-04-20,14.3,10.1,20.9,0.5,2.1,4.5,54,8.6,1008.3,1018.5,5.3,13.4,,,8.9,3.8,16.3,1.5,1.7
108,2016-04-21,13.5,10.3,16.9,17,2.8,11.4,87.6,13.5,996.2,1006.3,0,6.09,,,9.4,7,14.7,2.5,2.7
108,2016-04-22,13.5,10.1,18.6,0,2.6,10.6,83.4,12.8,999,1009.2,2,7.77,,,7.6,6.9,15.5,1.1,1.4
108,2016-04-23,13.5,7.8,19.8,,2.1,1.8,52.1,7.4,1003.4,1013.6,7.9,16.76,,,6.3,1.5,18,2,3.3
108,2016-04-24,15.5,8.1,23.7,,1.9,0.1,39.6,6.3,1005,1015.1,11.4,22.59,,,2.3,0,21,1.3,4.2
108,2016-04-25,17.2,10.2,25.3,,1.7,0.3,34.8,6.3,1007.4,1017.5,11.9,21.21,,,0.8,0,21.3,2.1,4.2
108,2016-04-26,21.1,12.1,29.6,,2,4.2,34.8,8.3,1004.1,1014,9.9,19.74,,,5.9,0.9,21.8,3,4.5
108,2016-04-27,17.2,14.5,20.7,,3.6,0.1,32,6.2,999.3,1009.3,0,8.39,,,9.6,5.3,17.8,1.8,2.9
108,2016-04-28,17.2,12.4,23,,2,1.1,34.4,6.7,997.3,1007.3,9.4,18.95,,,6.4,1.4,22.3,3.9,4.2
108,2016-04-29,16.2,10.9,22.6,0.3,2.5,4.7,47.6,8.6,1001.5,1011.6,11.6,21.79,,,2.5,0.8,21.9,4,4.7
108,2016-04-30,15.9,10.8,20.4,,2.8,3.8,45.3,8.1,1001.4,1011.5,1.5,8.93,,,5.4,2.6,17,1.5,3
108,2016-05-01,18.8,12.2,26,,2.2,4,40.5,8.4,1003.5,1013.5,6.8,17.07,,,5.6,3.3,20.2,2.8,4.4
108,2016-05-02,21.1,16.5,28.4,16.5,2.2,13.3,64.5,15.4,1001.1,1011,7.5,15.89,,,7,5.3,24.4,0.6,1
108,2016-05-03,12.9,8.9,17.6,27,4.9,10.5,86.1,13.2,984.5,994.6,0,1.63,,,10,6.9,14.8,0.4,0.9
108,2016-05-04,15.7,10.2,20.6,,5.1,3.8,46.6,8,993.6,1003.7,12.8,24.88,,,1.6,1.4,16.6,4.5,5.6
108,2016-05-05,18.9,10.2,26.9,7.5,1.7,6.6,50.8,10.1,1002.5,1012.5,10.9,21.6,,,4.5,1.9,20,3,4.4
108,2016-05-06,16.3,13,18.6,9.5,2,14.4,89.3,16.5,996.8,1006.9,0,1.91,,,9.3,7.8,16.8,0.7,1
108,2016-05-07,16.5,10.7,22.6,,2.6,7.6,60.3,10.5,1004,1014.1,12.4,23.93,,,2,0.1,19.3,2.9,4.6
108,2016-05-08,19.4,11.6,26.8,,2.1,5.5,44.8,9.2,1005.8,1015.8,11.5,23.51,,,5.4,3,20.8,3.9,5.5
108,2016-05-09,20.2,16.3,25.4,0,2,6.5,43,9.8,1000.6,1010.5,5.4,17.4,,,8.3,5.3,23.1,3.3,4
108,2016-05-10,14.5,12.5,18.1,13.5,2.3,11.4,82.4,13.5,997,1007.1,0.1,4.6,,,9.1,6.4,16.9,0.5,0.8
108,2016-05-11,16.4,10.4,23.5,,2,8.2,60.9,10.9,999.4,1009.5,12.9,24.41,,,2,0.3,21.2,3.8,4.6
108,2016-05-12,17.8,12.1,24,,2.7,9.9,62.4,12.2,1002.9,1012.9,12.5,23.94,,,3.3,1.5,22.2,3.6,4.7
108,2016-05-13,18.6,12.7,25.4,0.5,2.1,8.7,57,11.3,1009.4,1019.5,11.6,24.86,,,3.6,2.4,24,3,4.4
108,2016-05-14,20.2,15.1,26.9,,2.3,7.6,47.1,10.5,1010.9,1020.9,11.1,23.78,,,5.5,1.9,24.7,3.9,5.8
108,2016-05-15,17.4,12.3,24.2,45,2.7,12,73.9,14.3,999.4,1009.4,4.5,12.53,,,9,5.5,20.1,1.3,1.5
108,2016-05-16,15.9,10.8,21.9,2.5,3.2,6.1,57,9.5,999.7,1009.8,12.3,24.54,,,3,1.1,20.6,1.2,2
108,2016-05-17,19.3,10.9,26.6,,1.9,7.1,48.8,10.1,1005.7,1015.7,13.1,24.69,,,0,0,23.6,2.2,4.8
108,2016-05-18,22.3,13.5,29.5,,1.9,6.5,40.3,9.8,1008,1018,13.2,25.77,,,0.5,0,26.9,6.6,7.5
108,2016-05-19,24.3,16.3,31.9,,1.6,6.8,36.4,10,1007.2,1017,13.4,24.95,,,0,0,29.6,4,5.7
108,2016-05-20,24,16.8,31.6,,1.8,5,32,9.1,1007.2,1017,12.8,23.48,,,0.6,0,28.4,5.5,6.2
108,2016-05-21,24.1,17.8,30.4,,2,1.5,23.8,6.9,1007.9,1017.7,12.4,24.05,,,2.6,0,29.3,7.1,8.5
108,2016-05-22,24.7,17.6,31.7,,1.9,7.5,35,10.4,1006,1015.8,11.8,24.63,,,2.8,1.1,30.8,3.5,5.2
108,2016-05-23,23.3,18.3,29.4,,2.1,9.4,43,11.8,1002.2,1012,7.7,17.7,,,7.5,1.9,28.1,3.2,4.1
108,2016-05-24,16.8,15.4,21.8,38.5,2.6,13.7,82.6,15.7,996.9,1006.9,2.3,7.08,,,7,5.4,18.5,1.8,2
108,2016-05-25,19.7,15.3,24.4,,2.7,13.3,67.9,15.3,999.8,1009.7,5.1,15.6,,,6.9,6.9,21.1,2.3,3.7
108,2016-05-26,19.4,17.5,22.9,0,1.8,14.1,72,16.1,1000.5,1010.4,1.5,8.3,,,8.1,2.4,19.4,0.8,1.3
108,2016-05-27,20.9,14.8,27.1,,1.7,12,61.3,14.2,1001.3,1011.3,8.3,20.68,,,7.1,3.1,23.2,2.5,4.1
108,2016-05-28,21.7,17.2,28,,2.1,12,56.1,14.1,997.9,1007.8,13.1,23.9,,,2.9,0.8,28.3,5.7,6.5
108,2016-05-29,21.5,17.2,27.6,,2.3,12,56.1,14.1,994.8,1004.6,8.7,20.67,,,4.1,2.5,27.6,3.5,4.9
108,2016-05-30,22.1,16.9,28.9,,2.4,12.4,57.3,14.4,996.9,1006.7,12.8,24.57,,,0,0,30.1,4,5.4
108,2016-05-31,21.6,17.4,27.6,,2.5,13.8,63.6,15.8,997.4,1007.3,11.6,21.99,,,2.9,0,27.9,4.2,5.6
108,2016-06-01,23.3,17.1,29.9,,2.1,9.4,45.8,12,997.4,1007.1,13.1,24.45,,,2.4,0.9,29.6,3.1,5.3
108,2016-06-02,23.2,17.2,29.1,,2.4,7.7,38.3,10.5,1000,1009.8,13.5,25.38,,,0.6,0.3,31.7,5,6
108,2016-06-03,22.2,17.6,27.7,,2.2,9.9,48.1,12.3,1000.9,1010.8,11.7,22.84,,,4,0.5,29.6,3,5.1
108,2016-06-04,21.2,18.2,26.3,,1.6,10.7,51.8,12.9,999.1,1008.9,2.7,11.24,,,7.5,2.8,25.7,2.3,3.8
108,2016-06-05,24.7,17.3,32.2,,1.7,11.5,47.3,13.7,1000.5,1010.3,11.8,24.43,,,3.5,2.6,33.7,6.5,7
108,2016-06-06,23.3,20.8,28.4,0,2.3,11.7,49.1,13.9,1002.4,1012.2,4.6,15.57,,,7.4,2.4,28,5.2,6.2
108,2016-06-07,21.7,19.6,25.9,0.1,1.7,15.7,69.5,17.8,1000.3,1010.2,2.3,9.42,,,6.8,5.8,22.8,2.1,2.9
108,2016-06-08,22.1,18.2,27.7,,2.3,14.9,65.9,17,999.7,1009.6,11.6,20.45,,,5.1,3,31.3,3.8,4.6
108,2016-06-09,24.1,17.8,31.3,,2,15,59.5,17.1,1000.9,1010.7,12.4,22.84,,,1.4,0.9,32.8,4.5,5.2
108,2016-06-10,24.6,20.2,31.3,,2.2,15.9,60.9,18.1,1001.6,1011.4,12.1,21.74,,,2.1,1.3,32.6,4.1,5.5
108,2016-06-11,23.5,20.9,26.5,3,1.7,18.5,74.3,21.4,1000.1,1009.9,0.7,7.81,,,8.3,8.3,25.9,0.8,1.5
108,2016-06-12,23.5,19.9,26.7,1.5,2.1,19.6,79.4,22.8,995.6,1005.4,3.9,10.48,,,8.3,5.1,25.4,1.8,2.4
108,2016-06-13,23.5,19.4,29.6,,2.4,17.5,70.5,20.1,992.2,1001.9,9.2,19.87,,,5.1,4.1,27.5,3.8,4.7
108,2016-06-14,23.8,19.7,29.5,0,2.1,15.9,62.5,18.1,992.9,1002.6,7.8,19.48,,,6,2.5,31.8,2.5,4
108,2016-06-15,20.9,17.4,24.5,15.5,2.7,17.5,81.8,20,990.5,1000.3,1.9,7.05,,,9,7.1,20.8,2.6,3
108,2016-06-16,20.9,18.6,24.9,0,2.8,15.8,73.5,18,990.3,1000.1,7,13.83,,,6.9,6.1,22.4,2.8,3.5
108,2016-06-17,23.8,18.6,29.1,,2.5,15.9,63.1,18.1,998,1007.8,12,22.38,,,2.5,2.5,28.6,3.2,5.3
108,2016-06-18,24.5,20.1,29.9,,1.8,15.3,58,17.4,1001.3,1011.1,12.5,22.46,,,1.3,0.5,31.4,4,5.3
108,2016-06-19,24.1,20.3,29.3,0,1.9,16.8,64.5,19.2,998.1,1007.8,8.8,18.36,,,4.4,4.4,30,2.5,4
108,2016-06-20,24.7,19.6,30.7,,1.7,17.5,66,20.1,996.7,1006.4,6.3,16.89,,,6.8,3.4,29.3,2.1,3.6
108,2016-06-21,26,21,31.3,,1.7,17.3,60.1,19.8,996.8,1006.5,7.2,16.41,,,6.1,0.4,30.6,4,6
108,2016-06-22,24.3,20.9,30.2,30.5,2,19.3,75.1,22.5,995.5,1005.2,1,8.64,,,6.4,2.8,26.2,7.7,8
108,2016-06-23,24.7,19.6,29.4,0.1,2.1,18.8,71,21.7,995.9,1005.6,7.3,16.45,,,5,2.9,26.1,2.2,2.8
108,2016-06-24,23.1,21.1,25.7,3.5,2,18.3,75.8,21.3,989.7,999.4,3.2,8.81,,,7.3,5.4,23.4,2,2.4
108,2016-06-25,22.8,19.2,26.7,,2.8,15,63.1,17.1,993.1,1002.8,9.1,18.54,,,4.5,3.8,24.9,2.2,4.3
108,2016-06-26,24.4,19.4,30.3,,2.7,15.1,58.4,17.2,998.7,1008.4,13.4,25.57,,,0.8,0.5,30.5,3.9,5.8
108,2016-06-27,24.4,19.9,29.5,,1.6,14.2,55.5,16.3,999.8,1009.6,5,13.72,,,6.6,3.4,28.3,1.8,3
108,2016-06-28,24.7,20.4,29.7,,1.8,16.2,61.1,18.5,1000.5,1010.3,9.2,17.87,,,5,3.4,27.9,2.4,4.1
108,2016-06-29,25.3,20.9,30.2,,2.2,16.2,58,18.6,1000.3,1010.1,7.5,17.64,,,6.9,4.8,30.9,3.7,5
108,2016-06-30,24.6,23,26.9,0.2,2.8,20.4,78.1,24,999.8,1009.6,0.9,7.45,,,9.5,7.4,26,2,2.1
108,2016-07-01,24,22,26.6,108.5,2.3,21.4,86.5,25.6,994.5,1004.2,0,3.23,,,9.9,7.3,23.9,1,1.4
